osmid,y,x,highway,street_count,dc,cc,nbc,com,geometry
3160449707,-23.2006707,-45.8627757,,3,0.007766990291262136,0.04757727953093413,0.023807463235516524,22.994181701614277,POINT (-45.8627757 -23.2006707)
3160449708,-23.2006359,-45.8634179,traffic_signals,4,0.007766990291262136,0.04709995986634139,0.04756058073953128,35.62826661667552,POINT (-45.8634179 -23.2006359)
3160449709,-23.2006892,-45.8635071,traffic_signals,4,0.007766990291262136,0.04500941570893609,0.04231628824334048,35.25591224361995,POINT (-45.8635071 -23.2006892)
3161589327,-23.2054477,-45.8606704,,3,0.005825242718446602,0.05978434948250973,0.13049692255716383,22.91922162738113,POINT (-45.8606704 -23.2054477)
3161589328,-23.2053315,-45.8607453,,3,0.005825242718446602,0.056405725660381024,0.13050070027617708,21.677367321591575,POINT (-45.8607453 -23.2053315)
3161589330,-23.2053982,-45.861035,,3,0.005825242718446602,0.05413528378829437,0.09858245210533217,21.599383821598792,POINT (-45.861035 -23.2053982)
3161589339,-23.2056101,-45.86093,,3,0.005825242718446602,0.05135011828652675,0.09858622982434542,21.330433765387454,POINT (-45.86093 -23.2056101)
3178886311,-23.2222758,-45.8559812,,4,0.007766990291262136,0.041958876858752485,0.02192777001246647,37.20254413832064,POINT (-45.8559812 -23.2222758)
3178886345,-23.2204448,-45.8551065,,3,0.005825242718446602,0.0496310755639355,0.03561255713800007,27.636585481407426,POINT (-45.8551065 -23.2204448)
3178886355,-23.2186819,-45.8537872,,3,0.005825242718446602,0.0477205711022273,0.04616470357854635,25.209524165693573,POINT (-45.8537872 -23.2186819)
3178886356,-23.2185834,-45.8535374,,3,0.007766990291262136,0.05369954119478554,0.08985559522637733,24.152196160368085,POINT (-45.8535374 -23.2185834)
3178889265,-23.2140118,-45.85673,,3,0.005825242718446602,0.05958061903186428,0.003792453008957515,27.81033853756518,POINT (-45.85673 -23.2140118)
3178889269,-23.2139815,-45.8570928,,3,0.005825242718446602,0.04276938574113581,0.07183940573854668,23.704397172869555,POINT (-45.8570928 -23.2139815)
3178889276,-23.2186643,-45.8507251,,3,0.005825242718446602,0.05302562936217999,0.049298069652111136,20.298572740175317,POINT (-45.8507251 -23.2186643)
3178889277,-23.2186967,-45.8507113,,3,0.005825242718446602,0.0503606543465599,0.0493018473711244,20.242835860210675,POINT (-45.8507113 -23.2186967)
3178889278,-23.2186986,-45.8505144,,3,0.005825242718446602,0.053569051026007924,0.03873532125638204,20.1151983356633,POINT (-45.8505144 -23.2186986)
3178889279,-23.2187417,-45.8505718,,3,0.005825242718446602,0.05659460519713864,0.03873154353736878,20.217881488849848,POINT (-45.8505718 -23.2187417)
3178889289,-23.2185378,-45.8506307,,3,0.005825242718446602,0.04940860143842964,0.04611152806756078,20.281050228746142,POINT (-45.8506307 -23.2185378)
3178889293,-23.2184375,-45.8503378,,3,0.005825242718446602,0.04930290431360998,0.01509808887724877,20.09118090337954,POINT (-45.8503378 -23.2184375)
3178889295,-23.218475,-45.85036,,3,0.005825242718446602,0.04699083113634523,0.015101866596262028,20.094547306704662,POINT (-45.85036 -23.218475)
3178889305,-23.2184308,-45.8502465,,3,0.005825242718446602,0.049889901403243626,0.005997522900732183,20.10826536782094,POINT (-45.8502465 -23.2184308)
3178889308,-23.2185313,-45.8502319,,3,0.005825242718446602,0.04940860143842964,0.007740770661136345,20.213121182987944,POINT (-45.8502319 -23.2185313)
3178889309,-23.2184464,-45.8502286,,3,0.005825242718446602,0.05250399378286891,0.005993745181718925,20.212759737753238,POINT (-45.8502286 -23.2184464)
3178889313,-23.2184169,-45.8499718,,3,0.007766990291262136,0.054425833830095006,0.010599020721613258,20.622455608901053,POINT (-45.8499718 -23.2184169)
3179135092,-23.2111445,-45.855078,,3,0.011650485436893204,0.06827781685445261,0.030308460427718686,25.683104873431446,POINT (-45.855078 -23.2111445)
