osmid,y,x,street_count,dc,cc,bc,vul,eff,highway,ref,geometry
661212055,-23.5397914,-46.6269719,4,0.0037230081906180195,0.04254192261940995,0.04497455710082622,0.0012225245587957957,0.07609631930206648,,,POINT (-46.6269719 -23.5397914)
661212096,-23.5412827,-46.621976,3,0.0022338049143708115,0.03740951557787296,0.014527755204748633,0.0005783362996933647,0.07609631930206648,,,POINT (-46.621976 -23.5412827)
665142225,-23.5394623,-46.6320717,4,0.0037230081906180195,0.046776643021695916,0.07604916842900503,0.0017999015441690542,0.07609631930206648,traffic_signals,,POINT (-46.6320717 -23.5394623)
736941801,-23.5400926,-46.6486024,3,0.0022338049143708115,0.0016753536857781086,0.00126039911736581,0.00015223402915142203,0.07609631930206648,,,POINT (-46.6486024 -23.5400926)
736941802,-23.5403817,-46.649112,3,0.0014892032762472078,0.0,0.0,-0.0001722449357595139,0.07609631930206648,,,POINT (-46.649112 -23.5403817)
861890679,-23.5585225,-46.6484527,3,0.004467609828741623,0.03130121076676376,0.004068750231395477,0.0008135711072246275,0.07609631930206648,,,POINT (-46.6484527 -23.5585225)
861890752,-23.5598358,-46.6452543,3,0.0014892032762472078,0.03355934655433951,0.0,-0.00023678802473273475,0.07609631930206648,,,POINT (-46.6452543 -23.5598358)
861890779,-23.5572579,-46.6489041,1,0.0014892032762472078,0.0303051567884643,0.0,-0.00041021242633458235,0.07609631930206648,,,POINT (-46.6489041 -23.5572579)
861890853,-23.5599281,-46.6462857,3,0.0014892032762472078,0.03466277428314611,0.0006280129755350711,-7.349696165559792e-05,0.07609631930206648,,,POINT (-46.6462857 -23.5599281)
861890955,-23.5579619,-46.6480005,3,0.004467609828741623,0.03346852910039553,0.004894058720385934,0.0010181972766233154,0.07609631930206648,,,POINT (-46.6480005 -23.5579619)
861890959,-23.5595564,-46.6470713,3,0.0007446016381236039,0.0,0.0,-0.0003978362860556024,0.07609631930206648,,,POINT (-46.6470713 -23.5595564)
861891116,-23.5570261,-46.6479992,1,0.0014892032762472078,0.032332268355428094,0.0,-0.0003225821607490585,0.07609631930206648,,,POINT (-46.6479992 -23.5570261)
865280536,-23.5564824,-46.6399756,3,0.0037230081906180195,0.04092425015718519,0.004965774014037737,-1.8304377049313765e-06,0.07609631930206648,traffic_signals,,POINT (-46.6399756 -23.5564824)
871721095,-23.5575499,-46.6265123,3,0.0037230081906180195,0.03968238137243685,0.019641727954550613,0.00018610928509735225,0.07609631930206648,traffic_signals,A-252,POINT (-46.6265123 -23.5575499)
890510535,-23.543697,-46.6204392,3,0.0022338049143708115,0.03691779314920382,0.007570620270016626,-9.909668561055772e-05,0.07609631930206648,,,POINT (-46.6204392 -23.543697)
891033574,-23.5485558,-46.6297099,3,0.0029784065524944155,0.04313339038556738,0.03452467748294181,0.0006425118789857473,0.07609631930206648,,,POINT (-46.6297099 -23.5485558)
891033585,-23.5488442,-46.6304195,3,0.0029784065524944155,0.0435894602839094,0.010209477086837766,0.00035627977378368457,0.07609631930206648,,,POINT (-46.6304195 -23.5488442)
891306284,-23.5410219,-46.6465561,3,0.0022338049143708115,0.03803784379835707,0.007897833428290276,0.0004918283848645557,0.07609631930206648,,,POINT (-46.6465561 -23.5410219)
924906921,-23.5518988,-46.6473877,3,0.0022338049143708115,0.04360642327164545,0.002742292406658502,0.0004233165863990314,0.07609631930206648,,,POINT (-46.6473877 -23.5518988)
929571260,-23.5342704,-46.6414688,3,0.0022338049143708115,0.0315137193107479,0.0008237594873826457,-6.47810828920843e-05,0.07609631930206648,,,POINT (-46.6414688 -23.5342704)
929701837,-23.5398139,-46.6195704,3,0.0029784065524944155,0.0014892032762472078,1.6645342133910669e-06,0.0010046185687547934,0.07609631930206648,,,POINT (-46.6195704 -23.5398139)
